line,section_name,section_artist,song_name,artist_name,song_id
I think I want you more than want,Verse 1,The Script,Never Seen Anything “Quite Like You”,The Script,517794
And no I need you more than need,Verse 1,The Script,Never Seen Anything “Quite Like You”,The Script,517794
I want to hold you more than hold,Verse 1,The Script,Never Seen Anything “Quite Like You”,The Script,517794
When you stood in front of me,Verse 1,The Script,Never Seen Anything “Quite Like You”,The Script,517794
I think you know me more than know,Verse 1,The Script,Never Seen Anything “Quite Like You”,The Script,517794
And you see me more than see,Verse 1,The Script,Never Seen Anything “Quite Like You”,The Script,517794
I could die now more than die,Verse 1,The Script,Never Seen Anything “Quite Like You”,The Script,517794
Every time you look at me,Verse 1,The Script,Never Seen Anything “Quite Like You”,The Script,517794
Well I've seen you in jeans with no make-up on,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
And I've stood there in awe as your date for the prom,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
I'm blessed as a man to have seen you in white,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
But I've never seen anything quite like you tonight,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
"No, I've never seen anything quite like you",Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
When it's right it's more than right,Verse 2,The Script,Never Seen Anything “Quite Like You”,The Script,517794
Those you feel it more than feel,Verse 2,The Script,Never Seen Anything “Quite Like You”,The Script,517794
I could take this moment now,Verse 2,The Script,Never Seen Anything “Quite Like You”,The Script,517794
Right into the grave with me,Verse 2,The Script,Never Seen Anything “Quite Like You”,The Script,517794
Well I've seen you in jeans with no make-up on,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
And I've stood there in awe as your date for the prom,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
I'm blessed as a man to have seen you in white,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
But I've never seen anything quite like you tonight,Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
"No, I've never seen anything quite like you tonight",Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
"No, I've never seen anything quite like you tonight",Chorus,The Script,Never Seen Anything “Quite Like You”,The Script,517794
And your eyes are in your eyes,Bridge,The Script,Never Seen Anything “Quite Like You”,The Script,517794
And my heart's in our hearts,Bridge,The Script,Never Seen Anything “Quite Like You”,The Script,517794
Sometimes words just ain't enough,Bridge,The Script,Never Seen Anything “Quite Like You”,The Script,517794
