song,artist
There youll be,faith hill
when i look at you,miley cyrus
the a team,ed sheeran
thats the way it is,celine dion
shut up and dance,walk the moon
perfect,ed sheeran
one more light,linkin park
my heart will go on,celine dion
leaving on a jet plane,chantal kreviazuk
in love again,colbie caillat
never seen anything quite like you,the script
for the first time,the script
science & faith,the script
shelter,corrine may
beautiful life,corrine may
i need you,leeann rimes
from this moment on,shania twain
i do(cherish you),mark wills
still the same,sugarland
i wanna be with you,mandy moore
only hope,mandy moore
i see the light,mandy moore
rewrite the stars,zac efron
i knew i loved you,savage garden
helplessly hopelessly,jessica andrew
i could not ask for more,sara evans
truly madly deeply,savage garden
concrete angel,martina mcbride
on the side of me,corrine may
beautiful seed,corrine may
big girls dont cry,fergie
thinking of you,katy perry
the first cut is the deepest,sheryl crow
realize,colbie caillat
wide open,sugarland
the way you love me,faith hill
never had a dream come true,s club 7
not the only,sugarland
parallel line,keith urban
a little bit stronger,sara evans
smile,uncle kracker
every girl like me,sugarland
over you,miranda lambert
who i am,jessica andrew
bless the broken road,rascal flatts
landslide,the chicks
stuck like glue,sugarland
already gone,sugarland
it happens,sugarland
little miss,sugarland
still the same,sugarland
something more,sugarland
baby girl,sugarland
hello,sugarland
just might make me believe,sugarland
fly away,sugarland
speed of life,sugarland
time time time,sugarland
my kind of perfect,david archuleta
heart break,lady antebellum
youre still the one,shania twain
you and me,lifehouse
iris,goo goo dolls
i did with you,lady antebellum
when you say nothing at all,ronan keating
not over you,gavin degraw
who youd be today,kenny chesney
24 hours,corrine may
